SMILES,Eox
COCOC(C#N)C(C)(C#N)c1ccc(C(=O)OC)cc1,2.95660834
COC(=O)c1ccc(C(C#N)(C#N)C(Br)OC)cc1,2.94003745
COC(=O)c1ccc(C(c2ccccc2)(c2ccccc2)C(Br)Oc2ccccc2)cc1,2.17959958
COCOC(Br)C(C#N)(c1ccccc1)c1ccccc1,2.47512739
COCOC(Br)C(c1ccccc1)c1ccc(C#N)cc1,2.37145729
N#CC(C#N)(c1ccc(-c2ccccc2)cc1)C(Oc1ccccc1)c1ccccc1,2.05130443
COCOC(C#N)C(C)(C)c1ccc(C(=O)OC)cc1,2.70412675
CCc1ccc(C(C#N)C(Oc2ccccc2)c2ccccc2)cc1,1.93411096
CCc1ccc(C(C)(C)C(C#N)OC)cc1,2.12947876
COC(Br)C(C#N)(c1ccccc1)c1ccc(-c2ccccc2)cc1,1.94330794
CCc1ccc(C(C#N)C(OC)OC)cc1,2.26838581
N#Cc1ccc(C(C#N)(COc2ccccc2)c2ccccc2)cc1,1.96534804
COCOC(c1ccccc1)C(C)(C)c1ccc(C(=O)OC)cc1,2.33208442
COCOC(C)C(C)(C#N)c1ccc(-c2ccccc2)cc1,1.84997764
COC(Br)C(C)(C#N)c1ccc(-c2ccccc2)cc1,1.94396098
CCc1ccc(C(C)(C)C(Br)OC)cc1,2.00028568
COC(C#N)C(c1ccccc1)(c1ccccc1)c1ccccc1,2.12036341
CCc1ccc(C(C)(C)C(Br)OCOC)cc1,2.14705642
COC(=O)c1ccc(C(C)(C)C(C#N)OC)cc1,2.66244103
COC(OC)C(c1ccccc1)c1ccccc1,2.06436523
COC(C)C(C#N)c1ccc(C#N)cc1,2.7486151000000003
COCOC(Br)C(C)(C)c1ccc(C#N)cc1,2.52560194
CCc1ccc(C(c2ccccc2)C(OC)Oc2ccccc2)cc1,1.8806161
CC(Cc1ccc([N+](=O)[O-])cc1)Oc1ccccc1,1.79947588
COCOC(C)C(C#N)(C#N)c1ccc([N+](=O)[O-])cc1,3.11148766
